txn_id,timestamp,source_account,dest_account,amount,channel,txn_type
MOCK_000000,2026-05-11T20:03:33,NEW0000006,NEW0000062,69777.57,NEFT,debit
MOCK_000001,2026-05-11T14:43:54,NEW0000013,8001A4930,116338.12,UPI,debit
MOCK_000002,2026-05-11T16:49:54,130B7545,NEW0000107,224610.03,cheque,transfer
MOCK_000003,2026-05-14T11:44:36,NEW0000040,NEW0000087,77748.2,ATM,transfer
MOCK_000004,2026-05-30T07:23:30,868A4181,NEW0000054,132267.79,UPI,cash_out
MOCK_000005,2026-05-18T13:20:07,80071E780,611C3534,288680.3,NEFT,transfer
MOCK_000006,2026-05-12T07:13:15,NEW0000197,8001A4930,433243.17,branch_cash,cash_in
MOCK_000007,2026-05-11T04:05:36,073A8578,NEW0000054,335090.89,NEFT,debit
MOCK_000008,2026-05-23T10:34:19,NEW0000136,NEW0000041,189733.93,IMPS,cash_in
MOCK_000009,2026-05-16T07:31:45,NEW0000198,618A9717,200588.38,NEFT,payment
MOCK_000010,2026-05-11T07:43:40,NEW0000145,NEW0000080,327722.78,branch_cash,cash_out
MOCK_000011,2026-05-27T03:57:14,233C9131,8005FF2D0,131378.18,branch_cash,debit
MOCK_000012,2026-05-25T17:38:28,NEW0000210,NEW0000035,246762.98,UPI,transfer
MOCK_000013,2026-05-29T22:52:00,8001D2320,NEW0000108,31773.22,branch_cash,debit
MOCK_000014,2026-05-01T13:22:34,NEW0000135,8005FF2D0,340144.9,NEFT,debit
MOCK_000015,2026-05-15T05:57:08,NEW0000196,NEW0000028,217388.28,net_banking,transfer
MOCK_000016,2026-05-09T16:08:40,NEW0000184,525E1591,253845.76,NEFT,cash_in
MOCK_000017,2026-05-19T03:38:28,NEW0000129,NEW0000039,381257.77,UPI,debit
MOCK_000018,2026-05-15T22:16:47,216B4120,073A8578,119733.76,IMPS,debit
MOCK_000019,2026-05-26T20:38:51,NEW0000021,NEW0000017,382919.56,RTGS,cash_out
MOCK_000020,2026-05-21T12:59:29,NEW0000042,238A9883,482181.81,IMPS,cash_in
MOCK_000021,2026-05-26T03:01:10,289C9503,NEW0000112,225748.56,IMPS,payment
MOCK_000022,2026-05-29T13:34:56,216B4120,NEW0000210,110116.49,NEFT,transfer
MOCK_000023,2026-05-25T23:02:07,618A9717,NEW0000018,119009.94,net_banking,payment
MOCK_000024,2026-05-28T23:20:06,NEW0000292,NEW0000146,236340.79,net_banking,cash_out
MOCK_000025,2026-05-21T13:30:17,868A4181,NEW0000090,205557.03,UPI,transfer
MOCK_000026,2026-05-13T01:42:20,NEW0000292,868A4181,95803.12,net_banking,payment
MOCK_000027,2026-05-22T12:17:05,NEW0000280,063A7560,404013.04,NEFT,transfer
MOCK_000028,2026-05-12T11:24:07,NEW0000138,NEW0000023,83163.89,net_banking,cash_out
MOCK_000029,2026-05-19T09:32:08,930B2367,NEW0000042,1087.67,branch_cash,cash_in
MOCK_000030,2026-05-27T23:31:01,NEW0000116,80052F960,330939.04,net_banking,payment
MOCK_000031,2026-05-27T07:42:11,928C4969,NEW0000148,30488.18,ATM,transfer
MOCK_000032,2026-05-08T15:25:20,8003479D0,80026B6A0,28449.22,NEFT,payment
MOCK_000033,2026-05-20T14:25:57,063A7560,NEW0000060,59952.11,IMPS,debit
MOCK_000034,2026-05-29T08:01:39,909E1852,289C9503,282617.81,ATM,cash_in
MOCK_000035,2026-05-20T05:07:26,614B5989,005B7236,65447.83,cheque,cash_out
MOCK_000036,2026-05-23T05:56:28,NEW0000049,NEW0000002,310583.42,NEFT,transfer
MOCK_000037,2026-05-04T08:08:51,525E1591,NEW0000054,439636.33,ATM,cash_in
MOCK_000038,2026-05-26T16:15:38,8006524E0,NEW0000156,3921.48,cheque,transfer
MOCK_000039,2026-05-27T20:33:08,NEW0000034,868A4181,77732.4,cheque,debit
MOCK_000040,2026-05-13T19:33:48,NEW0000204,NEW0000074,252709.47,cheque,transfer
MOCK_000041,2026-05-01T04:07:51,NEW0000013,NEW0000011,166784.93,RTGS,cash_in
MOCK_000042,2026-05-28T05:30:13,545A5242,NEW0000013,4844.75,NEFT,payment
MOCK_000043,2026-05-21T20:44:16,073A8578,8002BA920,63731.49,cheque,cash_in
MOCK_000044,2026-05-13T02:43:23,NEW0000010,NEW0000053,333470.04,ATM,debit
MOCK_000045,2026-05-08T12:04:03,NEW0000104,NEW0000191,462882.65,IMPS,payment
MOCK_000046,2026-05-09T16:58:13,NEW0000045,NEW0000006,368284.87,ATM,cash_out
